UMLS_pt,UMLS_pt_UI,pt
Hematemesis,C0018926,Barrett's oesophagus
Dyspnea,C0013404,Haematemesis
Hallucinations,C0018524,Dyspnoea
Impaired wound healing,C0151692,Hallucination
Multiple sclerosis relapse,C0856120,Impaired healing
Myocardial Infarction,C0027051,Multiple sclerosis relapse
Postoperative wound complication,C0877305,Myocardial infarction
Surgical Wound Infection,C0038941,Postoperative wound complication
Wound closure,C1112446,Postoperative wound infection
Wound dehiscence,C0259768,Wound closure
Wound evisceration,C1096227,Wound dehiscence
Abdominal discomfort,C0232487,Wound evisceration
Abdominal Pain,C0000737,Abdominal discomfort
Abscess of jaw,C0266963,Abdominal pain
Actinomycosis,C0001261,Abscess jaw
Agitation,C0085631,Actinomycosis
Anemia,C0002871,Agitation
Anxiety,C0003467,Anaemia
Aortic valve calcification,C0428791,Anxiety
Arteriosclerosis,C0003850,Aortic calcification
Arthralgia,C0003862,Arteriosclerosis
Arthritis,C0003864,Arthralgia
Arthropathy,C0022408,Arthritis
Atelectasis,C0004144,Arthropathy
Avulsion fracture,C0332758,Atelectasis
Back Pain,C0004604,Avulsion fracture
Beta haemolytic streptococcal infection,C0948279,Back pain
Bipolar Disorder,C0005586,Beta haemolytic streptococcal infection
Bone Diseases,C0005940,Bipolar disorder
Bone pain,C0151825,Bone disorder
Breast tenderness,C0262397,Bone pain
Cardiac Arrest,C0018790,Breast tenderness
Heart murmur,C0018808,Cardiac arrest
Internal Carotid Artery Stenosis,C0340569,Cardiac murmur
Carpal Tunnel Syndrome,C0007286,Carotid artery stenosis
Impacted cerumen,C0021092,Carpal tunnel syndrome
"Radiculopathy, Cervical",C0742186,Cerumen impaction
Cholecystitis,C0008325,Cervical radiculopathy
Cholelithiasis,C0008350,Cholecystitis
Chronic Obstructive Airway Disease,C0024117,Cholelithiasis
Contusions,C0009938,Chronic obstructive pulmonary disease
Loss of interest,C0424091,Contusion
Diverticulum,C0012817,Decreased interest
Deglutition Disorders,C0011168,Diverticulum
