UMLS_drugname,UMLS_pt,a,drug_total,b,pt_total,c,d,PRR
aliskiren,Abdomen distended,2,3174,3172,83,81,418580,3.2038772998678198
aliskiren,Abnormal urine odor,14,3174,3160,140,126,418535,13.344778481012659
aliskiren,Adjustment disorder with depressed mood,2,3174,3172,6,4,418657,44.32839428331231
aliskiren,Anaphylactic shock,2,3174,3172,79,77,418584,3.36613086021677
aliskiren,Aortic valve calcification,96,3174,3078,1735,1639,417022,7.551892860553561
aliskiren,Arterial hemorrhage,1,3174,3173,7,6,418655,18.99185088469677
aliskiren,Ataxia,1,3174,3173,40,39,418622,3.3233138985187525
aliskiren,Atrial dilatation,1,3174,3173,7,6,418655,18.99185088469677
aliskiren,Aura,2,3174,3172,18,16,418645,14.775711083088131
aliskiren,Bladder malposition acquired,1,3174,3173,29,28,418633,4.58400078246411
aliskiren,Bleeding from ear,102,3174,3072,4416,4314,414347,3.1384998266247734
aliskiren,Blindness,95,3174,3079,141,46,418615,92.27673625267484
aliskiren,Blood calcium increased,3,3174,3171,10,7,418654,39.907757805108794
aliskiren,Blood lactate dehydrogenase decreased,1,3174,3173,12,11,418650,11.078448366425043
aliskiren,Bone trimming,1,3174,3173,14,13,418648,9.495767862770698
aliskiren,Bronchospasm,2,3174,3172,13,11,418650,20.458919390823553
aliskiren,Cervico-occipital neuralgia,1,3174,3173,8,7,418654,16.617830129215253
aliskiren,Chronic cholecystitis,27,3174,3147,462,435,418226,7.825133398536639
aliskiren,Colour blindness (incl acquired),5,3174,3169,26,21,418640,25.597070175012746
aliskiren,Confusion,108,3174,3066,1333,1225,417436,11.111930624534802
aliskiren,Congenital stenosis of aortic valve,1,3174,3173,24,23,418638,5.5390666036348355
aliskiren,Critical Illness,1,3174,3173,9,8,418653,14.771369541618517
aliskiren,Crystal nephropathy,2,3174,3172,21,19,418642,12.664805140214975
aliskiren,Decrease in appetite,100,3174,3074,3118,3018,415643,4.368583284331789
aliskiren,Dilatation of aorta,17,3174,3157,308,291,418370,7.369686616835809
aliskiren,Dry tongue,3,3174,3171,27,24,418637,14.78005536283682
aliskiren,Dysarthria,95,3174,3079,181,86,418575,71.87726875519245
aliskiren,Dyspnea,5,3174,3169,191,186,418475,3.4830549217798734
aliskiren,Dysuria,94,3174,3080,771,677,417984,16.667515623157644
aliskiren,Electrolyte imbalance,1,3174,3173,19,18,418643,6.996798646474364
aliskiren,Enamel anomaly,1,3174,3173,20,19,418642,6.646942956192877
aliskiren,Eructation,14,3174,3160,478,464,418197,3.905379746835443
aliskiren,Erythematous rash,102,3174,3072,377,275,418386,37.11862773541114
aliskiren,Esophageal Varices,1,3174,3173,13,12,418649,10.226235787534245
aliskiren,Fibromuscular dysplasia of wall of renal artery,4,3174,3170,89,85,418576,5.97945627902031
aliskiren,Gastric ulcer,13,3174,3161,474,461,418200,3.6559045700700925
aliskiren,Granuloma,1,3174,3173,42,41,418620,3.165045848153317
aliskiren,Hemorrhagic diarrhea,1,3174,3173,41,40,418621,3.2422497751608463
aliskiren,"Hyperparathyroidism, Primary",30,3174,3144,440,410,418251,9.138510582928522
aliskiren,Hypothermia due to exposure,1,3174,3173,43,42,418619,3.09143280147172
aliskiren,INR Increased,2,3174,3172,57,55,418606,4.665582619853542
aliskiren,Idiosyncratic drug reaction,3,3174,3171,6,3,418658,66.51356039104384
aliskiren,Ileus,95,3174,3079,198,103,418558,65.70333900879533
aliskiren,Impaired exercise tolerance,2,3174,3172,84,82,418579,3.165728397285774
aliskiren,Injury of liver,4,3174,3170,105,101,418560,5.068108757698663
aliskiren,Intentional dose omission,9,3174,3165,211,202,418459,5.682136519844568
aliskiren,Intentional self-injury,95,3174,3079,136,41,418620,95.67039766539938
aliskiren,Intestinal hemorrhage NOS,4,3174,3170,24,20,418641,22.177234490010513
aliskiren,Intracranial tumour haemorrhage,95,3174,3079,145,50,418611,89.73031996505807
aliskiren,Large intestinal obstruction reduction,9,3174,3165,98,89,418572,12.23726666021859
aliskiren,Left-Sided Heart Failure,1,3174,3173,33,32,418629,4.02832612287387
aliskiren,"Leukemia, Myelocytic, Acute",7,3174,3167,48,41,418620,19.42235685717293
aliskiren,Ligament injury,5,3174,3169,104,99,418562,6.398084205160571
aliskiren,Loss of interest,25,3174,3149,879,854,417807,3.802026827593208
aliskiren,Low density lipoprotein increased,2,3174,3172,26,24,418637,10.229144436899798
aliskiren,Lymphocyte stimulation test positive,2,3174,3172,76,74,418587,3.4990293356341673
aliskiren,Maculopapular Lesion,95,3174,3079,98,3,418658,132.77904633759968
aliskiren,Malaise,98,3174,3076,396,298,418363,33.90621264662227
aliskiren,Melanosis,6,3174,3168,105,99,418562,7.606962481962482
aliskiren,Mental status changes,95,3174,3079,113,18,418643,115.14941352640065
aliskiren,Muscle tightness,95,3174,3079,289,194,418467,45.005029044841095
aliskiren,Myocardial Ischemia,5,3174,3169,208,203,418458,3.198253210185208
aliskiren,Nail Loss,95,3174,3079,299,204,418457,43.49881221479849
aliskiren,Nausea,9,3174,3165,287,278,418383,4.176706243704278
aliskiren,Normocytic normochromic anemia,2,3174,3172,11,9,418652,24.178837555886737
aliskiren,Occult blood positive,5,3174,3169,161,156,418505,4.132365363997891
aliskiren,Off label vaccine use,95,3174,3079,1184,1089,417572,10.961857186432942
aliskiren,Pain in esophagus (finding),18,3174,3156,595,577,418084,4.037831102022558
aliskiren,Pre-existing condition improved,2,3174,3172,12,10,418651,22.163881883144178
aliskiren,Pressure of speech,4,3174,3170,7,3,418658,76.0392969806219
aliskiren,Product physical issue,2,3174,3172,15,13,418648,17.73097940311055
aliskiren,Psychomotor skills impaired,1,3174,3173,11,10,418651,12.085608686932357
aliskiren,Pulmonary Fibrosis,1,3174,3173,24,23,418638,5.5390666036348355
aliskiren,Pulmonary artery stenosis,2,3174,3172,11,9,418652,24.178837555886737
aliskiren,Pyoderma Gangrenosum,2,3174,3172,13,11,418650,20.458919390823553
aliskiren,Reaction to colouring,4,3174,3170,7,3,418658,76.0392969806219
aliskiren,Reaction to drug excipients,4,3174,3170,36,32,418629,14.78440238345601
aliskiren,Rectal hemorrhage,5,3174,3169,43,38,418623,15.476674469974387
aliskiren,Secondary hypertension,95,3174,3079,131,36,418625,99.32311720123268
aliskiren,Shone complex,1,3174,3173,11,10,418651,12.085608686932357
aliskiren,Shunt stenosis,1,3174,3173,7,6,418655,18.99185088469677
aliskiren,Sleeplessness,30,3174,3144,120,90,418571,33.53331743002544
aliskiren,Subcutaneous Abscess,9,3174,3165,389,380,418281,3.0807831479428356
aliskiren,Superficial spreading malignant melanoma of skin,4,3174,3170,104,100,418561,5.116852705653968
aliskiren,Toothache,12,3174,3162,252,240,418421,6.348950332821301
aliskiren,Transaminases decreased,95,3174,3079,100,5,418656,130.12284832737902
aliskiren,Uterine hemorrhage,14,3174,3160,329,315,418346,5.676084029086991
aliskiren,Vaginal abscess,9,3174,3165,56,47,418614,21.417349356804333
aliskiren,Wound infection bacterial,3,3174,3171,44,41,418620,9.069213898684097
aliskiren,exposure to molds (history),95,3174,3079,98,3,418658,132.77904633759968
aliskiren,pathologic fistula,96,3174,3078,3682,3586,415075,3.542044803601738
atenolol,"Abdomen, Acute",3,12005,12002,23,20,409810,4.584149018641821
atenolol,Abnormal breathing,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Abnormal coordination,9,12005,11996,102,93,409737,3.10201194515819
atenolol,Abnormal nail growth,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Abscess of eye,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Absence Epilepsy,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Acarodermatitis,2,12005,12003,19,17,409813,3.699215546990445
atenolol,Acne,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Acute osteomyelitis,2,12005,12003,8,6,409824,8.785866033491628
atenolol,Adenoid Cystic Carcinoma,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Adenoidal disorder,2,12005,12003,15,13,409817,4.685717459524008
atenolol,Agnosia,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Alcohol abuse,2,12005,12003,17,15,409815,4.134436978990546
atenolol,"Angioedemas, Hereditary",2,12005,12003,22,20,409810,3.194754341717601
atenolol,Anorectal swelling,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Anosmia,3,12005,12002,13,10,409820,8.11060977016651
atenolol,Aortic occlusion,2,12005,12003,6,4,409826,11.71454358632564
atenolol,Aortic valve sclerosis,5,12005,12000,53,48,409782,3.3158962264150946
atenolol,Aplastic Anemia,17,12005,11988,178,161,409669,3.359243606902783
atenolol,Appendicitis purulent perforated,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Application site blister,1,12005,12004,11,10,409820,3.194571506467541
atenolol,Application site infection,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Application site papules,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Arteriosclerosis,3,12005,12002,10,7,409823,10.543867688718548
atenolol,Arthroplasty,1,12005,12004,7,6,409824,5.0200885419146
atenolol,Atrial Fibrillation,3,12005,12002,18,15,409815,5.857593178914625
atenolol,Atrial Premature Complexes,1,12005,12004,5,4,409826,7.028157280906365
atenolol,Autoimmune necrotizing myopathy,2,12005,12003,12,10,409820,5.857188480657613
atenolol,Autoimmune thyroiditis,1,12005,12004,10,9,409821,3.5140369876707767
atenolol,Back disorder,1,12005,12004,6,5,409825,5.856783849827835
atenolol,Bacteremia,6,12005,11999,23,17,409813,9.17059030281509
atenolol,Bacterial Infections,2,12005,12003,5,3,409827,14.057485628592854
